Company_Brand,Sector,Stage,Amount,What_it_does,HeadQuarter,Year Founded,Founded,What it does,Founders,Investor
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Bangalore,2018,,,,
Happy Cow Dairy,"Agriculture, Farming",Seed,584000.0,A startup which aggregates milk from dairy farmers in rural Maharashtra.,Mumbai,2018,,,,
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,949000.0,Leading Online Loans Marketplace in India,Gurgaon,2018,,,,
PayMe India,"Financial Services, FinTech",Angel,2000000.0,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Noida,2018,,,,
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,0.0,Eunimart is a one stop solution for merchants to create a difference by selling globally.,Hyderabad,2018,,,,
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Bengaluru,2018,,,,
Tripshelf,"Internet, Leisure, Marketplace",Seed,233600.0,Tripshelf is an online market place for holiday packages.,Kalkaji,2018,,,,
Hyperdata.IO,Market Research,Angel,730000.0,Hyperdata combines advanced machine learning with human intelligence.,Hyderabad,2018,,,,
Freightwalla,"Information Services, Information Technology",Seed,0.0,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Mumbai,2018,,,,
Microchip Payments,Mobile Payments,Seed,0.0,Microchip payments is a mobile-based payment application and point-of-sale device,Bangalore,2018,,,,
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,0.0,Building Transactionary B2B Marketplaces,Delhi,2018,,,,
Emojifi,Internet,Seed,0.0,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Bengaluru,2018,,,,
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,0.0,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,India,2018,,,,
Freshboxx,Food Delivery,Seed,0.0,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Hubli,2018,,,,
Wide Mobility Mechatronics,Industrial Automation,Seed,0.0,Wide Mobility Mechatronics is a Private Company limited by Shares,Bangalore,2018,,,,
